date,song,artist,popularity,duration_ms,album_type,total_tracks,is_explicit,album_cover_url,position
2026-05-01,Supernova,aespa,91,178000,single,1,False,https://images.example.com/supernova.jpg,1
2026-05-01,How Sweet,NewJeans,88,178000,single,2,False,https://images.example.com/how sweet.jpg,2
2026-05-01,SPOT!,ZICO (feat. JENNIE),82,178000,single,1,True,https://images.example.com/spot.jpg,3
2026-05-01,Magnetic,ILLIT,80,212000,album,5,False,https://images.example.com/magnetic.jpg,4
2026-05-01,Armageddon,aespa,79,212000,album,10,False,https://images.example.com/armageddon.jpg,5
2026-05-01,Catalog Track 6,Indie/OST Artist,54,200000,single,1,False,https://images.example.com/catalog.jpg,6
2026-05-01,Catalog Track 7,Indie/OST Artist,53,200000,single,1,False,https://images.example.com/catalog.jpg,7
2026-05-01,Catalog Track 8,Indie/OST Artist,52,200000,single,1,False,https://images.example.com/catalog.jpg,8
2026-05-01,Catalog Track 9,Indie/OST Artist,51,200000,single,1,False,https://images.example.com/catalog.jpg,9
2026-05-01,Catalog Track 10,Indie/OST Artist,50,200000,single,1,False,https://images.example.com/catalog.jpg,10
2026-05-01,Catalog Track 11,Indie/OST Artist,49,200000,single,1,False,https://images.example.com/catalog.jpg,11
2026-05-01,Catalog Track 12,Indie/OST Artist,48,200000,single,1,False,https://images.example.com/catalog.jpg,12
2026-05-01,Catalog Track 13,Indie/OST Artist,47,200000,single,1,False,https://images.example.com/catalog.jpg,13
2026-05-01,Catalog Track 14,Indie/OST Artist,46,200000,single,1,False,https://images.example.com/catalog.jpg,14
2026-05-01,Catalog Track 15,Indie/OST Artist,45,200000,single,1,False,https://images.example.com/catalog.jpg,15
2026-05-01,Catalog Track 16,Indie/OST Artist,44,200000,single,1,False,https://images.example.com/catalog.jpg,16
2026-05-01,Catalog Track 17,Indie/OST Artist,43,200000,single,1,False,https://images.example.com/catalog.jpg,17
2026-05-01,Catalog Track 18,Indie/OST Artist,42,200000,single,1,False,https://images.example.com/catalog.jpg,18
2026-05-01,Catalog Track 19,Indie/OST Artist,41,200000,single,1,False,https://images.example.com/catalog.jpg,19
2026-05-01,Catalog Track 20,Indie/OST Artist,40,200000,single,1,False,https://images.example.com/catalog.jpg,20
2026-05-01,Catalog Track 21,Indie/OST Artist,39,200000,single,1,False,https://images.example.com/catalog.jpg,21
